hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,rstderr,note
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100.00,100.00,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.86,100.87,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.32,100.89,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.73,100.96,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.32,101.31,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.81,101.47,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.01,101.86,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.00,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.83,101.96,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.07,102.25,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.97,103.29,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.73,103.34,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.86,103.87,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.37,104.37,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.09,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.93,105.13,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.49,105.44,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.93,105.53,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.11,105.90,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.52,106.33,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.52,106.60,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.16,107.27,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.40,107.70,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.73,108.34,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.38,108.44,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.30,108.27,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.21,108.82,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.19,109.35,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.79,109.69,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.90,110.42,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.10,110.81,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.58,111.32,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.04,112.04,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.19,112.25,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.49,112.78,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.78,113.39,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,113.98,114.10,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.35,114.32,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.07,114.70,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.25,115.35,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.09,115.92,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.80,116.22,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.85,116.46,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.25,116.90,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.30,117.22,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.89,117.89,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.05,118.33,,
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.83,118.45,,
